Dbase,Accession Number,Name,Taxon,Species,Sex,Maturity,Date Admitted,Date_Admit,AdmitYr,AdmitMo, Rescue Location,Suburb,Jurisdiction,Cause of Affliction, Categories,Anatomical,Aetiological,Updated Anatomical, Updated Aetiological,Status,Status Date,Status Date2,StatusYr,StatusMo,,,,
new data,126812,Stripey,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2023-07-28,28/7/2023,2023,Jul,BA 238 Warana Beach,WARANA,Sunshine Coast Regional Council,Beach stranding (not floater),NAD,NAD,NAD: NAD,,,Unassisted Death,2023-07-31,31/7/2023,2023,Jul,,,,
new data,126777,,Reptile - Snake - Marine,Small-Headed Sea Snake,Unknown,Adult,2023-07-26,26/7/2023,2023,Jul,Beach Access 41,CASTAWAYS BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Ocular,Ocular: Eye injury,,,Euthanised,2023-07-26,26/7/2023,2023,Jul,,,,
new data,126539,Chilli,Reptile - Snake - Marine,Stokes Sea Snake,Unknown,Adult,2023-07-18,18/7/2023,2023,Jul,Sunshine beach,SUNSHINE BEACH,Sunshine Coast Regional Council,Health Check,Trauma,Musculoskeletal,Musculoskeletal: Trauma - other,,,Euthanised,2023-07-18,18/7/2023,2023,Jul,,,,
new data,125974,,Reptile - Snake - Marine,Yellow-bellied Sea Snake,Unknown,Adult,2023-06-06,6/6/2023,2023,Jun,Not Provided,MARCOOLA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Wildlife Released,2023-06-16,16/6/2023,2023,Jun,,,,
new data,125183,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2023-04-28,28/4/2023,2023,Apr,Kings Beach,KINGS BEACH,Sunshine Coast Regional Council,Beach stranding (not floater)  / Overt signs of disease,Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine,,,Euthanised,2023-04-28,28/4/2023,2023,Apr,,,,
new data,125277,,Reptile - Snake - Marine,Stokes Sea Snake,Unknown,Adult,2023-04-27,27/4/2023,2023,Apr,Double Island Beach,COOLOOLA,Gympie Regional Council,Overt signs of disease,Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2023-04-27,27/4/2023,2023,Apr,,,,
new data,125246,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2023-04-26,26/4/2023,2023,Apr,Wurtulla Beach,WURTULLA,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Wildlife Released,2023-05-06,6/5/2023,2023,May,,,,
new data,125160,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2023-04-24,24/4/2023,2023,Apr,Happy Valley Beach,CALOUNDRA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Trauma - multi-organ,,,,DOA,2023-04-24,24/4/2023,2023,Apr,,,,
new data,125161,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Juvenile,2023-04-24,24/4/2023,2023,Apr,Beach Access 239,WARANA,Sunshine Coast Regional Council,Overt signs of disease,Trauma,Trauma - multi-organ,,,,Euthanised,2023-04-24,24/4/2023,2023,Apr,,,,
new data,124947,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2023-04-15,15/4/2023,2023,Apr,Beach Access 132,TWIN WATERS,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,CNS/neurological,CNS/neurological: Paralysis - trauma,,,Euthanised,2023-04-15,15/4/2023,2023,Apr,,,,
new data,124434,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2023-03-19,19/3/2023,2023,Mar,Beach Access 39,SUNRISE BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Haematopoietic,Haematopoietic: Neoplasia - other,,,Euthanised,2023-03-19,19/3/2023,2023,Mar,,,,
new data,124097,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Subadult,2023-03-04,4/3/2023,2023,Mar,Stumers Creek,COOLUM BEACH,Sunshine Coast Regional Council,Natural predation,Trauma,Musculoskeletal,Musculoskeletal: Gastro-intestinal trauma,,,Euthanised,2023-03-04,4/3/2023,2023,Mar,,,,
new data,123817,Ridley,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2023-02-19,19/2/2023,2023,Feb,Spinnaker Marina,SANDSTONE POINT,Moreton Bay Regional Council,Fishing tackle entanglement,Trauma,Musculoskeletal,Musculoskeletal: Soft tissue injury,,,Wildlife Released,2023-02-22,22/2/2023,2023,Feb,,,,
new data,123562,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2023-02-09,9/2/2023,2023,Feb,Stumers Creek,COOLUM,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional / Haematopoietic,Haematopoietic: Anaemia - other / Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2023-02-09,9/2/2023,2023,Feb,,,,
new data,122631,Suzie,Reptile - Snake - Marine,Turtle Headed Sea Snake,Female,Adult,2023-01-11,11/1/2023,2023,Jan,BA 198 Point Cartwright,KAWANA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Unassisted Death,2023-01-12,12/1/2023,2023,Jan,,,,
new data,122441,Venay-Mousse,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2023-01-07,7/1/2023,2023,Jan,Harvey Bay Beach,TOQUAY,Fraser Coast Regional Council,Overt signs of disease,Infection/Disease,CNS/neurological / GIT,GIT: Floater / GIT: Neurological - other,,,Euthanised,2023-01-07,7/1/2023,2023,Jan,,,,
new data,122082,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-12-28,28/12/2022,2022,Dec,Beach Access 234,WARANA,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,Trauma - multi-organ / Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2022-12-28,28/12/2022,2022,Dec,,,,
new data,121773,,Reptile - Snake - Marine,Yellow-bellied Sea Snake,Unknown,Juvenile,2022-12-21,21/12/2022,2022,Dec,Not Provided,REDCLIFFE,Moreton Bay Regional Council,Beach stranding (not floater)  / Netting Entanglement,Trauma / Infection/Disease,Musculoskeletal / Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion / Musculoskeletal: Soft tissue injury,,,Euthanised,2022-12-22,22/12/2022,2022,Dec,,,,
new data,121755,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-12-18,18/12/2022,2022,Dec,Woorim Dog Beach,WOORIM,Moreton Bay Regional Council,Beach stranding (not floater),Infection/Disease,Trauma - multi-organ,,,,DOA,2022-12-18,18/12/2022,2022,Dec,,,,
new data,121577,Kimono,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-12-11,11/12/2022,2022,Dec,"Mudjimba Surf Club, Mudjimba Esplanade",MUDJIMBA,Sunshine Coast Regional Council,Beach stranding (not floater)  / Overt signs of disease,Infection/Disease,GIT,GIT: Floater,,,Unassisted Death,2022-12-15,15/12/2022,2022,Dec,,,,
new data,121576,Jaeger,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2022-12-11,11/12/2022,2022,Dec,"Beach Access 117, Mudjimba Esplanade",MUDJIMBA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2022-12-13,13/12/2022,2022,Dec,,,,
new data,121210,Emma,Reptile - Snake - Marine,Olive-Headed Sea Snake,Female,Adult,2022-11-28,28/11/2022,2022,Nov,7th Avenue,SANDGATE,Brisbane City Council,Beach stranding (not floater),Other,Reproductive / Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion / Reproductive: Other,,,Euthanised,2022-11-29,29/11/2022,2022,Nov,,,,
new data,121120,Theon,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-11-27,27/11/2022,2022,Nov,BA 97 Surfside Lane,MOUNT COOLUM,Sunshine Coast Regional Council,Health Check,NAD,NAD,NAD: NAD,,,Wildlife Released,2022-12-05,5/12/2022,2022,Dec,,,,
new data,121121,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-11-27,27/11/2022,2022,Nov,Alex Beach opposite Olanja Road,ALEXANDRA HEADLAND,Sunshine Coast Regional Council,Boat Strike,Trauma,CNS/neurological / Trauma - multi-organ,CNS/neurological: Neurological - trauma,,,Euthanised,2022-11-27,27/11/2022,2022,Nov,,,,
new data,120855,Tomato,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-11-17,17/11/2022,2022,Nov,Peregian Beach - Beach access 45,PEREGIAN BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Wildlife Released,2022-12-05,5/12/2022,2022,Dec,,,,
new data,120554,Puff,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-11-09,9/11/2022,2022,Nov,Beach Access 72,COOLUM BEACH,Sunshine Coast Regional Council,Health Check,NAD,NAD,NAD: NAD,,,Wildlife Released,2022-11-18,18/11/2022,2022,Nov,,,,
new data,120513,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-11-07,7/11/2022,2022,Nov,Beach Access 62,PEREGIAN BEACH,Sunshine Coast Regional Council,Boat Strike,Trauma / Infection/Disease,Musculoskeletal / Haematopoietic,Musculoskeletal: Fracture - ribs / Haematopoietic: Neoplasia - other,,,Euthanised,2022-11-07,7/11/2022,2022,Nov,,,,
new data,120030,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Male,Adult,2022-10-27,27/10/2022,2022,Oct,Lifegued Tower,DICKY BEACH,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,Haematopoietic,Haematopoietic: Septicaemia,,,Euthanised,2022-10-27,27/10/2022,2022,Oct,,,,
new data,119983,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-10-24,24/10/2022,2022,Oct,Coolum Beach,COOLUM,Sunshine Coast Regional Council,Beach stranding (not floater)  / Boat Strike,Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine,,,Euthanised,2022-10-24,24/10/2022,2022,Oct,,,,
new data,119918,,Reptile - Snake - Marine,Yellow-bellied Sea Snake,Unknown,Subadult,2022-10-22,22/10/2022,2022,Oct,North Shore Beach,MUDJIMBA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,GIT / Haematopoietic,GIT: Bacterial - other / Haematopoietic: Septicaemia,,,Euthanised,2022-10-22,22/10/2022,2022,Oct,,,,
new data,119925,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-10-22,22/10/2022,2022,Oct,Langura Street beach access,WARANA,Sunshine Coast Regional Council,Natural predation,Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine / Musculoskeletal: Soft tissue injury,,,Euthanised,2022-10-22,22/10/2022,2022,Oct,,,,
new data,119901,,Reptile - Snake - Marine,Elegant Sea Snake,Male,Adult,2022-10-21,21/10/2022,2022,Oct,Mooloolaba beach,MOOLOOLABA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Haematopoietic,Haematopoietic: Neoplasia - other,,,Euthanised,2022-10-21,21/10/2022,2022,Oct,,,,
new data,119878,Joy,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-10-21,21/10/2022,2022,Oct,Noosa North Shore,NOOSA HEADS,Sunshine Coast Regional Council,Beach stranding (not floater),NAD,NAD,NAD: NAD,,,Wildlife Released,2022-10-30,30/10/2022,2022,Oct,,,,
new data,119879,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2022-10-21,21/10/2022,2022,Oct,Noosa North Shore,NOOSA HEADS,Sunshine Coast Regional Council,Beach stranding (not floater),Other,Trauma - multi-organ,,,,DOA,2022-10-21,21/10/2022,2022,Oct,,,,
new data,119828,Happy,Reptile - Snake - Marine,Yellow-bellied Sea Snake,Unknown,Juvenile,2022-10-20,20/10/2022,2022,Oct,Mooloolaba beach,MOOLOOLABA,Sunshine Coast Regional Council,Beach stranding (not floater),Orphan/dependant young / NAD,NAD,NAD: NAD,,,Wildlife Released,2022-10-30,30/10/2022,2022,Oct,,,,
new data,119824,,Reptile - Snake - Marine,Elegant Sea Snake,Female,Adult,2022-10-20,20/10/2022,2022,Oct,Third Bay,COOLUM BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma / Infection/Disease,Musculoskeletal / Haematopoietic,Musculoskeletal: Fracture - spine / Haematopoietic: Septicaemia,,,Euthanised,2022-10-20,20/10/2022,2022,Oct,,,,
new data,119752,Christopher,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2022-10-16,16/10/2022,2022,Oct,Sunshine Beach,SUNSHINE BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),NAD,NAD,NAD: NAD,,,Wildlife Released,2022-10-30,30/10/2022,2022,Oct,,,,
new data,119448,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-10-12,12/10/2022,2022,Oct,Warana Beach,WARANA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2022-10-12,12/10/2022,2022,Oct,,,,
new data,119228,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-09-29,29/9/2022,2022,Sep,Not Provided - came from MOP,HERVEY BAY,Fraser Coast Regional Council,Overt signs of disease,Infection/Disease,Haematopoietic,Haematopoietic: Anaemia - chronic disease,,,Euthanised,2022-09-29,29/9/2022,2022,Sep,,,,
new data,118999,Sesame,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-09-22,22/9/2022,2022,Sep,Peregian Beach,PEREGIAN BEACH,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2022-09-27,27/9/2022,2022,Sep,,,,
new data,118765,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2022-09-18,18/9/2022,2022,Sep,Maroochydore Beach,MAROOCHYDORE,Sunshine Coast Regional Council,Beach stranding (not floater),Other,Trauma - multi-organ,,,,DOA,2022-09-18,18/9/2022,2022,Sep,,,,
new data,118739,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-09-15,15/9/2022,2022,Sep,Access 67 ,PEREGIAN BEACH,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,GIT / Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion / GIT: Neoplasia - other,,,Euthanised,2022-09-15,15/9/2022,2022,Sep,,,,
new data,118416,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-09-02,2/9/2022,2022,Sep,Not Provided - came from MOP,PEREGIAN BEACH,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,Musculoskeletal,Musculoskeletal: Other,,,Euthanised,2022-09-02,2/9/2022,2022,Sep,,,,
new data,118194,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-08-30,30/8/2022,2022,Aug,Peregian Beach Access 64,PEREGIAN BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine,,,Euthanised,2022-08-30,30/8/2022,2022,Aug,,,,
new data,118193,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-08-29,29/8/2022,2022,Aug,"Currimundi Beach, Near Lake",CURRIMUNDI,Sunshine Coast Regional Council,Overt signs of disease,Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine,,,Euthanised,2022-08-29,29/8/2022,2022,Aug,,,,
new data,117810,,Reptile - Snake - Marine,Yellow-bellied Sea Snake,Unknown,Subadult,2022-08-02,2/8/2022,2022,Aug,Beach entrance 207,BUDDINA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,DOA,2022-08-02,2/8/2022,2022,Aug,,,,
new data,116134,Oats,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Juvenile,2022-05-01,1/5/2022,2022,May,"Fraser Island, Eastern Coast",FRASER ISLAND,Fraser Coast Regional Council,Beach stranding (not floater),NAD,NAD,NAD: NAD,,,Wildlife Released,2022-05-05,5/5/2022,2022,May,,,,
new data,116133,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Juvenile,2022-05-01,1/5/2022,2022,May,Fraser Island Eastern Coast,FRASER ISLAND,Fraser Coast Regional Council,Beach stranding (not floater)  / HBC,Trauma,Trauma - multi-organ,,,,Euthanised,2022-05-01,1/5/2022,2022,May,,,,
new data,115769,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Juvenile,2022-04-13,13/4/2022,2022,Apr,Mudjimba Surf Club,MUDJIMBA,Sunshine Coast Regional Council,Beach stranding (not floater),Other,GIT,GIT: Gastro-intestinal obstruction,,,Euthanised,2022-04-13,13/4/2022,2022,Apr,,,,
new data,115768,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Juvenile,2022-04-13,13/4/2022,2022,Apr,Marcoola Surf Club,MARCOOLA,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Fracture - jaw,,,Euthanised,2022-04-13,13/4/2022,2022,Apr,,,,
new data,115721,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-04-11,11/4/2022,2022,Apr,Marcoola Beach Access 3,MARCOOLA,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine,,,Euthanised,2022-04-11,11/4/2022,2022,Apr,,,,
new data,115495,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Juvenile,2022-04-10,10/4/2022,2022,Apr,Mooloolaba Beach,MOOLOOLABA,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Fracture - ribs / Musculoskeletal: Soft tissue injury,,,Euthanised,2022-04-11,11/4/2022,2022,Apr,,,,
new data,115676,Harold,Reptile - Snake - Marine,Horned Sea Snake,Unknown,Adult,2022-04-09,9/4/2022,2022,Apr,on beach,PERIGIAN BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Soft tissue injury,,,Euthanised,2022-04-11,11/4/2022,2022,Apr,,,,
new data,115675,,Reptile - Snake - Marine,Yellow-bellied Sea Snake,Unknown,Adult,2022-04-09,9/4/2022,2022,Apr,Not provided,SUNRISE BEACH,Sunshine Coast Regional Council,Beach stranding (not floater)  / Overt signs of disease,Trauma,CNS/neurological,CNS/neurological: Neurological - trauma,,,Euthanised,2022-04-09,9/4/2022,2022,Apr,,,,
new data,114519,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-02-27,27/2/2022,2022,Feb,Coolum Beach,COOLUM,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Skin/feathers/scales,Skin/feathers/scales: Neoplasia - other,,,Euthanised,2022-02-27,27/2/2022,2022,Feb,,,,
new data,114508,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-02-25,25/2/2022,2022,Feb,Mudjimba Beach access 116,MUDJIMBA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2022-02-26,26/2/2022,2022,Feb,,,,
new data,113362,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2022-01-12,12/1/2022,2022,Jan,Welsby Parade,BONGAREE,Moreton Bay Regional Council,Beach stranding (not floater),Trauma,Metabolic/nutritional,,,,Unassisted Death,2022-01-15,15/1/2022,2022,Jan,,,,
new data,112601,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-12-18,18/12/2021,2021,Dec,Maroochydore Beach,MAROOCHYDORE,Sunshine Coast Regional Council,Overt signs of disease,Trauma / Infection/Disease,Musculoskeletal / Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion / Musculoskeletal: Fracture - spine,,,Euthanised,2021-12-18,18/12/2021,2021,DEC,,,,
new data,111954,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-12-01,1/12/2021,2021,Dec,Mooloolaba  Beach,MOOLOOLABA,Sunshine Coast Regional Council,Overt signs of disease,Infection/Disease,Haematopoietic,Haematopoietic: Septicaemia,,,Euthanised,2021-12-01,1/12/2021,2021,DEC,,,,
new data,111606,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2021-11-23,23/11/2021,2021,Nov,Moore Park Beach,BUNDABERG,Bundaberg Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Multi-organ/system failure,,,DOA,2021-11-23,23/11/2021,2021,NOV,,,,
new data,111407,,Reptile - Snake - Marine,Elegant Sea Snake,Male,Adult,2021-11-18,18/11/2021,2021,Nov,Mooloolaba Beach,MOOLOOLABA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2021-11-18,18/11/2021,2021,NOV,,,,
new data,111405,,Reptile - Snake - Marine,Elegant Sea Snake,Male,Adult,2021-11-18,18/11/2021,2021,Nov,Point Arkwright area,POINT ARKWRIGHT,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Soft tissue injury,,,Euthanised,2021-11-18,18/11/2021,2021,NOV,,,,
new data,111406,Rocket,Reptile - Snake - Marine,Elegant Sea Snake,Male,Adult,2021-11-18,18/11/2021,2021,Nov,Bokarina Area,BOKARINA,Sunshine Coast Regional Council,Health Check,Infection/Disease,Musculoskeletal,,,,Wildlife Released,2021-12-03,3/12/2021,2021,DEC,,,,
new data,111147,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-11-17,17/11/2021,2021,Nov,Mudjimba Beach,MUDJIMBA,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2021-11-17,17/11/2021,2021,NOV,,,,
new data,111298,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-11-14,14/11/2021,2021,Nov,183 Beach Access,MOOLOOLABA,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Fracture - jaw / Musculoskeletal: Fracture - skull,,,Euthanised,2021-11-15,15/11/2021,2021,NOV,,,,
new data,111088,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Juvenile,2021-11-09,9/11/2021,2021,Nov,Hervey Bay beach,HERVEY BAY,Fraser Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,DOA,2021-11-09,9/11/2021,2021,NOV,,,,
new data,110978,Marco,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-11-06,6/11/2021,2021,Nov,Maroochydore beach,MAROOCHYDORE,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Respiratory,Respiratory: Floater,,,Wildlife Released,2021-11-06,25/11/2021,2021,NOV,,,,
new data,110779,Darren,Reptile - Snake - Marine,Elegant Sea Snake,Male,Adult,2021-11-03,3/11/2021,2021,Nov,Beach Access 44,MARCUS BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Soft tissue injury,,,Wildlife Released,2021-11-16,16/11/2021,2021,NOV,,,,
new data,110837,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-11-02,2/11/2021,2021,Nov,Cotton Tree beach,COTTON TREE,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional / Haematopoietic,Metabolic/nutritional: Emaciation/exhaustion / Haematopoietic: Septicaemia,,,Euthanised,2021-11-02,2/11/2021,2021,NOV,,,,
new data,110726,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-10-31,31/10/2021,2021,Oct,0,MARCOOLA,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine,,,Euthanised,2021-10-31,31/10/2021,2021,OCT,,,,
new data,110673,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown,Adult,2021-10-31,31/10/2021,2021,Oct,0,SUNSHINE BEACH,Sunshine Coast Regional Council,Beach stranding (not floater)  / Overt signs of disease,Infection/Disease,CNS/neurological,CNS/neurological: Neurological - other,,,Euthanised,2021-10-31,31/10/2021,2021,OCT,,,,
new data,110658,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-10-30,30/10/2021,2021,Oct,Woorim Beach,WOORIM,Moreton Bay Regional Council,Beach stranding (not floater)  / Overt signs of disease,Infection/Disease,Respiratory / Haematopoietic,Respiratory: Floater / Haematopoietic: Septicaemia,,,Euthanised,2021-10-30,30/10/2021,2021,OCT,,,,
new data,110647,,Reptile - Snake - Marine,Elegant Sea Snake,Male,Adult,2021-10-30,30/10/2021,2021,Oct,Beach Access 40,SUNRISE BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Musculoskeletal / Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion / Musculoskeletal: Fracture - skull,,,Euthanised,2021-10-30,30/10/2021,2021,OCT,,,,
new data,110646,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-10-30,30/10/2021,2021,Oct,Access 111,MARCOOLA BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma,Respiratory / Musculoskeletal / Metabolic/nutritional / Haematopoietic,Metabolic/nutritional: Emaciation/exhaustion / Respiratory: Floater / Musculoskeletal: Fracture - skull / Haematopoietic: Septicaemia,,,Euthanised,2021-10-30,30/10/2021,2021,OCT,,,,
new data,110573,,Reptile - Snake - Marine,Olive-Headed Sea Snake,Male,Adult,2021-10-28,28/10/2021,2021,Oct,Mooloolaba Spit,MOOLOOLABA,Sunshine Coast Regional Council,Beach stranding (not floater),Trauma / Infection/Disease,Musculoskeletal,Musculoskeletal: Abcess / Musculoskeletal: Other,,,Euthanised,2021-10-28,28/10/2021,2021,OCT,,,,
new data,110572,,Reptile - Snake - Marine,Yellow-bellied Sea Snake,Unknown,Adult,2021-10-28,28/10/2021,2021,Oct,Mooloolaba Spit,MOOLOOLABA,Sunshine Coast Regional Council,Beach stranding (not floater)  / Boat Strike,Trauma,Musculoskeletal,Musculoskeletal: Fracture - spine / Musculoskeletal: Soft tissue injury,,,Euthanised,2021-11-03,3/11/2021,2021,NOV,,,,
new data,110545,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-10-27,27/10/2021,2021,Oct,Beach Access 41,MARCUS BEACH,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2021-10-27,27/10/2021,2021,OCT,,,,
new data,110430,,Reptile - Snake - Marine,Elegant Sea Snake,Unknown,Adult,2021-10-27,27/10/2021,2021,Oct,Noosa Main Beach,NOOSA HEADS,Sunshine Coast Regional Council,Beach stranding (not floater),Infection/Disease,Metabolic/nutritional,Metabolic/nutritional: Emaciation/exhaustion,,,Euthanised,2021-10-27,27/10/2021,2021,OCT,,,,
